4,"SELECT TOP # ra, dec, specobjid, plate, mjd, fiberid, z, fiberMag_i FROM specphoto WHERE survey = # and programname = # and z between # and #"
2019-02-04 23:44:00,3
2019-02-04 23:49:00,1
