6,"SELECT objid, ra, dec, u, g, r, i, z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-05-26 03:53:00,1
2019-05-29 21:47:00,1
2019-05-29 22:03:00,1
2019-05-29 22:17:00,2
2019-05-31 21:30:00,1
