227604,"SELECT DISTINCT s.instrument, s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-01 15:58:00,1
2019-01-01 15:59:00,1
2019-01-01 18:16:00,1
2019-01-02 01:06:00,1
2019-01-02 01:08:00,1
2019-01-02 20:41:00,1
2019-01-02 20:46:00,1
2019-01-08 13:15:00,1
2019-01-08 13:18:00,1
2019-01-08 21:54:00,2
2019-01-08 21:55:00,1
2019-01-08 22:24:00,1
2019-01-08 23:13:00,1
2019-01-10 15:56:00,1
2019-01-16 11:51:00,1
2019-01-16 12:23:00,1
2019-01-16 12:36:00,1
2019-01-16 12:37:00,1
2019-01-16 12:54:00,1
2019-01-16 13:15:00,1
2019-01-16 13:52:00,1
2019-01-16 13:55:00,1
2019-01-25 06:49:00,1
2019-01-25 08:02:00,1
2019-01-25 09:45:00,2
2019-01-25 14:01:00,1
2019-01-25 14:02:00,6
2019-01-25 14:03:00,7
2019-01-25 14:04:00,7
2019-01-25 14:05:00,4
2019-01-25 14:06:00,5
2019-01-25 14:07:00,11
2019-01-25 14:08:00,9
2019-01-25 14:09:00,12
2019-01-25 14:11:00,7
2019-01-25 14:12:00,7
2019-01-25 14:13:00,8
2019-01-25 14:14:00,6
2019-01-25 14:15:00,7
2019-01-25 14:16:00,11
2019-01-25 14:17:00,5
2019-01-25 14:18:00,2
2019-01-25 14:19:00,4
2019-01-25 14:20:00,6
2019-01-25 14:21:00,5
2019-01-25 14:22:00,6
2019-01-25 14:23:00,7
2019-01-25 14:24:00,4
2019-01-25 14:25:00,7
2019-01-25 14:26:00,6
2019-01-25 14:27:00,5
2019-01-25 14:28:00,10
2019-01-25 14:29:00,5
2019-01-25 14:30:00,7
2019-01-25 14:31:00,2
2019-01-25 14:46:00,8
2019-01-25 14:47:00,5
2019-01-25 14:49:00,4
2019-01-25 14:50:00,3
2019-01-25 14:51:00,4
2019-01-25 14:52:00,4
2019-01-25 14:53:00,7
2019-01-25 14:54:00,5
2019-01-25 14:55:00,7
2019-01-25 14:56:00,8
2019-01-25 14:57:00,4
2019-01-25 14:58:00,6
2019-01-25 14:59:00,7
2019-01-25 15:00:00,2
2019-01-25 15:01:00,3
2019-01-25 15:02:00,6
2019-01-25 15:03:00,7
2019-01-25 15:04:00,5
2019-01-25 15:05:00,7
2019-01-25 15:06:00,8
2019-01-25 15:07:00,6
2019-01-25 15:08:00,2
2019-01-25 17:50:00,1
2019-01-25 17:51:00,1
2019-01-25 18:40:00,1
2019-01-25 18:47:00,1
2019-01-25 19:46:00,1
2019-01-25 19:48:00,1
2019-01-25 19:55:00,1
2019-01-25 19:56:00,1
2019-01-25 19:58:00,1
2019-01-25 19:59:00,1
2019-01-25 20:08:00,1
2019-01-25 20:24:00,1
2019-01-25 21:12:00,1
2019-01-25 21:16:00,1
2019-01-25 22:01:00,1
2019-01-25 22:03:00,1
2019-01-25 23:24:00,1
2019-01-25 23:25:00,1
2019-01-26 00:01:00,1
2019-01-26 00:05:00,1
2019-01-26 00:35:00,13
2019-01-26 00:36:00,5
2019-01-26 00:37:00,8
2019-01-26 00:38:00,5
2019-01-26 00:39:00,7
2019-01-26 00:40:00,5
2019-01-26 00:41:00,6
2019-01-26 00:42:00,9
2019-01-26 00:43:00,6
2019-01-26 00:44:00,16
2019-01-26 00:45:00,3
2019-01-26 06:09:00,7
2019-01-26 06:10:00,5
2019-01-26 06:11:00,6
2019-01-26 06:12:00,4
2019-01-26 06:13:00,3
2019-01-26 06:19:00,9
2019-01-26 06:20:00,7
2019-01-26 06:21:00,7
2019-01-26 06:22:00,1
2019-01-26 06:23:00,6
2019-01-26 06:24:00,4
2019-01-26 06:25:00,6
2019-01-26 06:26:00,10
2019-01-26 06:27:00,8
2019-01-26 06:28:00,7
2019-01-26 06:29:00,7
2019-01-26 06:30:00,4
2019-01-26 06:31:00,3
2019-01-26 06:32:00,1
2019-01-26 06:33:00,3
2019-01-26 06:34:00,5
2019-01-26 06:35:00,7
2019-01-26 06:36:00,5
2019-01-26 06:37:00,4
2019-01-26 06:38:00,6
2019-01-26 06:39:00,9
2019-01-26 06:40:00,3
2019-01-26 06:41:00,3
2019-01-26 06:43:00,4
2019-01-26 06:44:00,6
2019-01-26 06:45:00,8
2019-01-26 06:46:00,3
2019-01-26 06:47:00,4
2019-01-26 06:48:00,3
2019-01-26 06:49:00,3
2019-01-26 06:50:00,31
2019-01-26 06:51:00,1
2019-01-26 08:50:00,9
2019-01-26 08:51:00,7
2019-01-26 08:52:00,21
2019-01-26 08:53:00,23
2019-01-26 08:54:00,12
2019-01-26 09:03:00,14
2019-01-26 09:04:00,8
2019-01-26 09:05:00,5
2019-01-26 09:06:00,8
2019-01-26 10:01:00,8
2019-01-26 10:02:00,1
2019-01-26 10:18:00,22
2019-01-26 10:19:00,49
2019-01-29 04:39:00,1
