15,"SELECT up_id, p.objID FROM #upload, PhotoTag p WHERE p.objID = dbo.fObjidFromSDSS (#, up_run, up_rerun, up_camcol, up_field, up_obj) EXEC spExecuteSQL #'< a target = INFO href = http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx? id = # + cast (x.objId as varchar (#) ) + #> #+ cast (x.objId as varchar (#) ) + #< /a> # as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID ORDER by x.up_id ##', @log = #, @filter = #"
2019-04-01 12:07:00,1
2019-04-03 02:04:00,1
2019-04-25 16:51:00,1
2019-05-08 20:14:00,1
2019-06-14 05:21:00,1
2019-06-27 15:44:00,1
2019-06-28 14:19:00,1
2019-07-31 00:27:00,1
2019-09-12 13:27:00,1
2019-09-12 13:30:00,1
2019-09-12 13:31:00,1
2019-09-18 15:50:00,1
2019-11-12 12:09:00,1
2019-12-06 12:38:00,1
2019-12-08 14:39:00,1
