3,"SELECT TOP # s.class, s.z as redshift, s.subClass FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND s.subClass ! = #"
2019-05-10 08:20:00,2
2019-05-10 08:28:00,1
