175,"SELECT TOP # obj.run, obj.camCol, str (obj.field, #) as field, str (obj.rowc, #, #) as rowc, str (obj.colc, #, #) as colc, str (dbo.fObj (obj.objId) , #) as id, str (obj.psfMag_g - #*obj.extinction_g, #, #) as g, str (obj.psfMag_r - #*obj.extinction_r, #, #) as r, str (obj.psfMag_i - #*obj.extinction_i, #, #) as i, str (obj.psfMag_z - #*obj.extinction_z, #, #) as z, str (#*distance, #, #) as D, dbo.fField (neighborObjId) as nfield, str (dbo.fObj (neighborObjId) , #) as nid FROM (SELECT obj.objId, run, camCol, field, rowc, colc, psfMag_u, extinction_u, psfMag_g, extinction_g, psfMag_r, extinction_r, psfMag_i, extinction_i, psfMag_z, extinction_z, NN.neighborObjId, NN.distance FROM PhotoObj as obj JOIN neighbors as NN on obj.objId = NN.objId WHERE #*NN.distance between # and # and NN.mode = # and NN.neighborMode = # and run = # and camCol = # and obj.type = # and (obj.flags"
2019-01-01 11:08:00,1
2019-01-02 00:18:00,1
2019-01-02 00:47:00,1
2019-01-06 12:40:00,1
2019-01-07 00:09:00,1
2019-01-07 23:30:00,1
2019-01-08 03:28:00,1
2019-01-08 06:26:00,1
2019-01-08 07:27:00,1
2019-01-08 08:40:00,1
2019-01-11 04:42:00,1
2019-01-12 03:12:00,1
2019-01-13 08:29:00,1
2019-01-13 09:08:00,1
2019-01-22 08:26:00,1
2019-01-23 22:20:00,1
2019-01-23 23:26:00,1
2019-01-25 15:57:00,1
2019-01-30 09:29:00,1
2019-02-04 13:39:00,1
2019-02-04 14:11:00,1
2019-02-04 14:40:00,1
2019-02-08 01:31:00,1
2019-02-08 18:11:00,1
2019-02-08 22:16:00,1
2019-02-09 17:33:00,1
2019-02-10 05:52:00,1
2019-02-10 09:42:00,1
2019-02-11 11:13:00,1
2019-02-14 11:00:00,1
2019-02-14 12:10:00,1
2019-02-18 03:05:00,1
2019-02-24 11:51:00,1
2019-02-27 19:49:00,1
2019-02-27 22:26:00,1
2019-02-28 03:31:00,1
2019-03-01 12:56:00,1
2019-03-01 22:31:00,1
2019-03-02 02:07:00,1
2019-03-02 22:37:00,1
2019-03-05 07:30:00,1
2019-03-05 08:53:00,1
2019-03-10 18:11:00,1
2019-03-26 19:54:00,1
2019-03-26 20:28:00,1
2019-03-26 20:56:00,1
2019-03-28 16:14:00,1
2019-03-28 19:56:00,1
2019-04-01 06:22:00,1
2019-04-01 18:24:00,1
2019-04-01 22:17:00,1
2019-04-08 15:34:00,1
2019-04-08 18:47:00,1
2019-04-09 12:25:00,1
2019-04-09 21:15:00,1
2019-04-09 21:20:00,1
2019-04-09 21:21:00,1
2019-04-10 00:36:00,1
2019-04-16 18:43:00,1
2019-04-18 05:43:00,1
2019-04-18 21:55:00,1
2019-04-19 01:38:00,1
2019-04-19 09:59:00,1
2019-04-19 19:06:00,1
2019-05-01 14:55:00,1
2019-05-02 11:07:00,1
2019-05-03 04:41:00,1
2019-05-03 14:46:00,1
2019-05-03 17:26:00,1
2019-05-10 16:23:00,1
2019-05-15 23:56:00,1
2019-05-16 00:41:00,1
2019-05-18 20:33:00,1
2019-05-18 21:22:00,1
2019-05-18 22:00:00,1
2019-05-23 09:59:00,1
2019-05-23 13:32:00,1
