16,"SELECT DISTINCT p.ra, p.dec, p.dered_g, p.dered_r, p.err_g, p.err_r, p.flags FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-25 04:16:00,1
2019-02-25 20:49:00,1
2019-02-26 15:25:00,1
2019-02-27 19:09:00,1
2019-02-27 19:10:00,1
2019-02-27 19:26:00,1
2019-02-27 19:27:00,1
2019-02-27 19:58:00,1
2019-03-04 19:02:00,1
2019-03-04 19:12:00,1
2019-03-04 19:16:00,1
2019-03-04 20:02:00,1
2019-03-04 20:05:00,2
2019-03-04 20:06:00,1
2019-03-13 18:33:00,1
