346,select objid from star where star.r between # and #
2019-02-26 17:48:00,2
2019-02-26 17:59:00,6
2019-02-26 18:20:00,1
2019-02-26 18:21:00,1
2019-02-26 18:25:00,1
2019-02-26 18:33:00,1
2019-02-26 18:43:00,1
2019-02-26 22:05:00,2
2019-02-26 22:17:00,1
2019-02-28 12:30:00,1
2019-02-28 12:33:00,1
2019-02-28 12:40:00,7
2019-02-28 12:51:00,1
2019-02-28 12:53:00,1
2019-02-28 12:54:00,1
2019-02-28 12:56:00,1
2019-02-28 13:03:00,1
2019-02-28 13:08:00,1
2019-02-28 13:28:00,10
2019-02-28 13:43:00,1
2019-02-28 13:47:00,1
2019-02-28 13:50:00,1
2019-02-28 14:01:00,1
2019-02-28 14:03:00,1
2019-02-28 14:07:00,1
2019-02-28 14:19:00,3
2019-02-28 14:29:00,1
2019-02-28 14:34:00,1
2019-02-28 14:39:00,2
2019-02-28 14:56:00,1
2019-02-28 15:01:00,1
2019-02-28 15:06:00,1
2019-02-28 15:12:00,6
2019-02-28 15:29:00,1
2019-02-28 15:34:00,1
2019-02-28 15:37:00,1
2019-02-28 15:38:00,1
2019-02-28 15:47:00,1
2019-02-28 15:50:00,1
2019-02-28 16:05:00,1
2019-02-28 16:10:00,6
2019-02-28 16:27:00,1
2019-02-28 16:30:00,1
2019-02-28 16:36:00,1
2019-02-28 16:42:00,1
2019-02-28 16:44:00,1
2019-02-28 16:51:00,1
2019-02-28 16:55:00,1
2019-02-28 16:59:00,1
2019-02-28 17:12:00,1
2019-02-28 17:19:00,1
2019-02-28 17:25:00,1
2019-02-28 17:32:00,1
2019-02-28 17:37:00,1
2019-02-28 17:42:00,1
2019-02-28 17:48:00,3
2019-02-28 18:03:00,1
2019-02-28 18:04:00,1
2019-02-28 18:14:00,1
2019-02-28 18:19:00,1
2019-02-28 18:34:00,2
2019-02-28 18:39:00,1
2019-02-28 18:44:00,5
2019-02-28 19:00:00,1
2019-02-28 19:07:00,4
2019-02-28 19:23:00,1
2019-02-28 19:25:00,1
2019-02-28 19:26:00,1
2019-02-28 19:37:00,1
2019-02-28 19:41:00,1
2019-02-28 19:43:00,1
2019-02-28 19:53:00,1
2019-02-28 20:03:00,4
2019-02-28 20:13:00,1
2019-02-28 20:14:00,1
2019-02-28 20:24:00,6
2019-02-28 20:43:00,1
2019-02-28 20:46:00,1
2019-02-28 20:48:00,1
2019-02-28 21:00:00,1
2019-02-28 21:02:00,1
2019-02-28 21:04:00,1
2019-02-28 21:15:00,1
2019-02-28 21:19:00,1
2019-02-28 21:29:00,4
2019-02-28 21:31:00,1
2019-02-28 21:37:00,1
2019-02-28 21:45:00,1
2019-02-28 21:51:00,1
2019-02-28 21:56:00,1
2019-02-28 22:01:00,4
2019-02-28 22:02:00,2
2019-02-28 22:19:00,1
2019-02-28 22:20:00,1
2019-02-28 22:21:00,1
2019-02-28 22:36:00,1
2019-02-28 22:37:00,1
2019-02-28 22:46:00,1
2019-02-28 22:51:00,1
2019-02-28 22:56:00,1
2019-02-28 23:01:00,1
2019-02-28 23:07:00,1
2019-02-28 23:12:00,1
2019-02-28 23:17:00,1
2019-02-28 23:27:00,5
2019-02-28 23:34:00,1
2019-02-28 23:38:00,1
2019-02-28 23:44:00,3
2019-02-28 23:59:00,1
2019-03-01 00:00:00,1
2019-03-01 00:07:00,1
2019-03-01 00:11:00,1
2019-03-01 00:45:00,5
2019-03-01 01:01:00,2
2019-03-01 01:09:00,1
2019-03-01 01:11:00,1
2019-03-01 01:19:00,6
2019-03-01 01:34:00,1
2019-03-01 01:36:00,1
2019-03-01 01:37:00,1
2019-03-01 01:41:00,1
2019-03-01 01:52:00,1
2019-03-01 01:56:00,1
2019-03-01 01:58:00,1
2019-03-01 01:59:00,1
2019-03-01 02:17:00,1
2019-03-01 02:18:00,1
2019-03-01 02:19:00,1
2019-03-01 02:35:00,1
2019-03-01 09:05:00,4
2019-03-01 09:09:00,1
2019-03-01 09:17:00,1
2019-03-01 09:21:00,1
2019-03-01 09:24:00,1
2019-03-01 09:33:00,3
2019-03-01 09:44:00,1
2019-03-01 09:45:00,1
2019-03-01 09:52:00,1
2019-03-01 09:56:00,2
2019-03-01 10:04:00,2
2019-03-01 10:11:00,1
2019-03-01 10:12:00,1
2019-03-01 10:20:00,1
2019-03-01 10:24:00,1
2019-03-01 10:28:00,1
2019-03-01 10:32:00,3
2019-03-01 10:42:00,1
2019-03-01 10:48:00,1
2019-03-01 10:53:00,1
2019-03-01 11:07:00,1
2019-03-01 11:19:00,1
2019-03-01 11:23:00,3
2019-03-01 11:29:00,2
2019-03-01 11:36:00,1
2019-03-01 11:43:00,1
2019-03-01 11:44:00,1
2019-03-01 11:52:00,1
2019-03-01 11:58:00,1
2019-03-01 11:59:00,1
2019-03-01 12:13:00,1
2019-03-01 12:54:00,1
2019-03-01 13:02:00,1
2019-03-01 13:15:00,1
2019-03-01 13:16:00,3
2019-03-01 13:32:00,2
2019-03-01 13:43:00,1
2019-03-01 13:54:00,3
2019-03-01 14:05:00,1
2019-03-01 14:10:00,1
2019-03-01 14:18:00,1
2019-03-01 14:25:00,1
2019-03-01 14:32:00,1
2019-03-01 15:30:00,1
2019-03-01 15:34:00,1
2019-03-01 17:48:00,1
2019-03-01 17:49:00,1
2019-03-01 23:14:00,1
2019-03-01 23:19:00,1
2019-03-01 23:25:00,2
2019-03-01 23:44:00,4
2019-03-01 23:57:00,1
2019-03-02 00:00:00,1
2019-03-02 00:12:00,1
2019-03-02 00:17:00,2
2019-03-02 00:27:00,1
2019-03-02 00:28:00,1
2019-03-02 00:39:00,2
2019-03-02 00:44:00,1
2019-03-02 00:53:00,1
2019-03-02 00:59:00,1
2019-03-02 01:32:00,4
2019-03-02 01:43:00,2
2019-03-02 01:55:00,1
2019-03-02 02:01:00,1
2019-03-02 09:17:00,2
2019-03-02 09:26:00,1
2019-03-02 09:31:00,1
2019-03-02 09:45:00,1
2019-03-02 09:50:00,3
2019-03-02 10:04:00,1
2019-03-02 10:12:00,4
2019-03-02 10:28:00,1
2019-03-02 10:35:00,2
2019-03-02 10:44:00,1
2019-03-02 10:49:00,1
2019-03-02 10:52:00,1
2019-03-02 13:27:00,4
2019-03-02 13:46:00,1
2019-03-02 13:47:00,1
2019-03-02 13:59:00,1
2019-03-02 14:04:00,1
2019-03-03 15:12:00,5
2019-03-03 15:34:00,1
2019-03-03 15:36:00,1
2019-03-03 15:38:00,1
2019-03-03 15:53:00,1
2019-03-04 22:38:00,2
2019-03-05 06:28:00,1
2019-03-05 06:35:00,1
2019-03-05 06:51:00,4
2019-03-05 07:09:00,2
2019-03-05 07:21:00,1
2019-03-05 07:23:00,1
2019-03-05 07:32:00,1
