64,select fieldid from field where cccol_u between -.# and .# and skyframes_r between # and # and expapcorrectionerr_r between # and #
2019-01-25 07:44:00,2
2019-01-25 07:52:00,1
2019-01-28 18:08:00,2
2019-01-28 18:09:00,1
2019-01-28 18:10:00,2
2019-01-28 18:11:00,2
2019-01-28 18:12:00,1
2019-01-28 18:15:00,1
2019-01-28 18:16:00,1
2019-01-28 18:23:00,2
2019-01-28 18:24:00,1
2019-01-28 18:25:00,5
2019-01-28 18:26:00,1
2019-01-28 18:28:00,2
2019-01-28 18:29:00,1
2019-01-28 18:32:00,2
2019-01-28 18:33:00,1
2019-01-28 18:43:00,5
2019-01-28 18:44:00,1
2019-01-28 18:58:00,3
2019-01-28 18:59:00,1
2019-01-28 19:02:00,2
2019-01-28 19:03:00,1
2019-02-26 13:10:00,2
2019-02-26 13:11:00,4
2019-02-26 13:12:00,6
2019-02-26 13:13:00,5
2019-02-26 13:14:00,6
