3,"select cModelAbsMag_u, cModelAbsMag_g, cModelAbsMag_r, cModelAbsMag_i, cModelAbsMag_z, z, logMass from stellarMassFSPSGranWideDust where z < # AND logMass > #"
2019-11-11 16:50:00,1
2019-11-11 16:51:00,1
2019-11-13 17:21:00,1
