13,"select ra, dec, dered_u into mydb.A2#_U from photoprimary where err_r > # and err_z > # and ra > = # and ra< # and dec > =# and dec< =# and ( (flags_u & #) ! = #) and ( (flags_u & #) = #) and ( (flags_u & #) = #) AND ( ((flags_u & #) = #) or (flags_u & #) = #)"
2019-02-20 01:25:00,1
2019-02-20 01:26:00,1
2019-02-20 01:29:00,2
2019-02-20 01:30:00,1
2019-02-20 02:34:00,1
2019-02-20 02:44:00,1
2019-02-20 02:45:00,2
2019-02-20 02:53:00,1
2019-02-20 02:56:00,1
2019-02-20 03:00:00,1
2019-02-20 03:02:00,1
