2,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.class, s.z as redshift into mydb.redshift from PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid"
2019-05-21 01:15:00,1
2019-05-21 03:03:00,1
