6,"SELECT top # z, ra, dec FROM specObj WHERE class = # AND ra> # AND ra< # AND dec> # AND dec< # AND z> # AND z< # AND zWarning = #"
2019-11-14 02:38:00,1
2019-11-14 03:14:00,1
2019-11-14 03:15:00,2
2019-11-14 03:16:00,1
2019-11-14 03:21:00,1
