24,"SELECT TOP # specObjID, z into mydb.MyTable from SpecObj WHERE class = # AND zWarning = #"
2019-01-06 07:27:00,1
2019-02-22 18:52:00,1
2019-03-26 17:27:00,1
2019-03-26 17:29:00,1
2019-04-13 06:49:00,1
2019-04-21 06:14:00,1
2019-04-23 19:46:00,1
2019-04-23 19:47:00,1
2019-05-06 13:51:00,1
2019-05-13 05:09:00,1
2019-05-28 05:24:00,1
2019-05-28 05:28:00,1
2019-07-01 18:43:00,1
2019-07-01 18:44:00,2
2019-07-01 18:45:00,1
2019-07-18 09:34:00,1
2019-09-23 09:51:00,1
2019-09-23 09:54:00,1
2019-10-31 08:06:00,1
2019-11-21 03:29:00,1
2019-11-21 03:30:00,1
2019-12-04 12:14:00,1
2019-12-19 12:53:00,1
