38,select top # * from [SDSSspecgalsDR1#]
2019-01-30 15:44:00,1
2019-06-17 19:13:00,1
2019-06-17 19:14:00,1
2019-06-26 11:43:00,1
2019-06-27 19:59:00,1
2019-07-12 06:54:00,1
2019-07-12 11:28:00,1
2019-07-25 15:34:00,1
2019-07-25 16:10:00,1
2019-07-25 16:16:00,1
2019-08-03 10:22:00,1
2019-08-07 19:19:00,1
2019-08-08 07:28:00,1
2019-08-08 08:01:00,1
2019-08-08 08:29:00,1
2019-08-08 16:09:00,1
2019-08-08 16:12:00,1
2019-08-08 16:14:00,1
2019-08-08 16:27:00,1
2019-08-08 16:30:00,1
2019-08-08 16:31:00,1
2019-08-09 07:49:00,1
2019-08-09 07:56:00,1
2019-08-09 11:04:00,1
2019-08-10 13:17:00,1
2019-08-10 19:54:00,1
2019-08-10 19:59:00,1
2019-08-10 20:02:00,1
2019-08-10 20:04:00,1
2019-08-10 20:06:00,1
2019-08-11 07:49:00,1
2019-08-11 09:55:00,1
2019-08-11 10:03:00,1
2019-08-11 10:31:00,1
2019-08-11 11:09:00,1
2019-08-11 11:10:00,1
2019-08-11 15:55:00,1
2019-08-13 14:49:00,1
