2,"SELECT psfmag_g, psfmag_r, psfmag_i, psfmag_z, psfmagerr_g, psfmagerr_r, psfmagerr_i, psfmagerr_z, ra, dec, flags_r, extinction_g, extinction_r, extinction_i, extinction_z into mydb.fullsdssMACS1#DR1# from Star WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-11-29 05:59:00,1
2019-11-29 06:00:00,1
