29,select top # * from [test1#]
2019-01-03 15:38:00,1
2019-01-03 15:40:00,1
2019-03-21 18:38:00,1
2019-03-23 06:49:00,1
2019-03-26 12:23:00,1
2019-03-27 08:02:00,1
2019-05-15 07:12:00,2
2019-05-15 08:29:00,1
2019-05-15 08:50:00,1
2019-05-15 09:17:00,1
2019-05-15 09:20:00,1
2019-05-15 09:53:00,1
2019-05-15 10:13:00,1
2019-05-15 10:14:00,1
2019-07-29 13:10:00,1
2019-07-29 13:12:00,1
2019-07-29 13:21:00,1
2019-07-30 09:20:00,1
2019-09-17 06:21:00,1
2019-11-07 05:10:00,1
2019-11-07 05:13:00,1
2019-11-07 05:15:00,2
2019-11-07 05:22:00,1
2019-11-07 05:24:00,1
2019-11-08 00:02:00,1
2019-11-08 00:03:00,1
2019-11-08 00:13:00,1
