2,"SELECT s.ra, s.dec, s.z, s.zErr, s.velDisp, s.velDispErr, p.ra, p.dec, p.z, p.zErr From SpecObj AS s JOIN SpecPhotoAll AS p ON s.specObjID = p.specObjID WHERE s.ra BETWEEN # AND # AND s.dec BETWEEN # AND # AND s.class = GALAXY AND s.subClass = # p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.class = GALAXY AND p.subClass = # AND (p.petroMag_r-p.extinction) < # AND p.programname = LEGACY AND p.zWarning = OK"
2019-11-03 17:12:00,1
2019-11-03 17:14:00,1
