5,"SELECT TOP # p.objId, p.ra, p.dec, p.petror9#_r, p.g, p.r FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.r BETWEEN # AND # AND p.petror9#_r > #"
2019-02-06 15:40:00,2
2019-02-06 15:42:00,2
2019-02-06 15:44:00,1
