390910,"SELECT type FROM dbo.fGetNearestObjAllEq (#, #, #)"
2019-08-23 18:11:00,1255
2019-08-23 18:12:00,1217
2019-08-23 18:13:00,1232
2019-08-23 18:14:00,1142
2019-08-23 18:15:00,695
2019-08-23 18:16:00,1236
2019-08-23 18:17:00,1377
2019-08-23 18:18:00,1407
2019-08-23 18:19:00,1651
2019-08-23 18:20:00,1496
2019-08-23 18:21:00,1491
2019-08-23 18:22:00,1524
2019-08-23 18:23:00,1224
2019-08-23 18:24:00,1349
2019-08-23 18:25:00,1194
2019-08-23 18:26:00,1228
2019-08-23 18:27:00,1192
2019-08-23 18:28:00,1207
2019-08-23 18:29:00,1341
2019-08-23 18:30:00,1281
2019-08-23 18:31:00,1325
2019-08-23 18:32:00,1237
2019-08-23 18:33:00,1247
2019-08-23 18:34:00,1294
2019-08-23 18:35:00,1268
2019-08-23 18:36:00,1246
2019-08-23 18:37:00,1308
2019-08-23 18:38:00,873
2019-08-23 18:39:00,1103
2019-08-23 18:40:00,1219
2019-08-23 18:41:00,1186
2019-08-23 18:42:00,1252
2019-08-23 18:43:00,1247
2019-08-23 18:44:00,1230
2019-08-23 18:45:00,1258
2019-08-23 18:46:00,1242
2019-08-23 18:47:00,1185
2019-08-23 18:48:00,1245
2019-08-23 18:49:00,1241
2019-08-23 18:50:00,1310
2019-08-23 18:51:00,1207
2019-08-23 18:52:00,1255
2019-08-23 18:53:00,1324
2019-08-23 18:54:00,1369
2019-08-23 18:55:00,1241
2019-08-23 18:56:00,1252
2019-08-23 18:57:00,1327
2019-08-23 18:58:00,1089
2019-08-23 18:59:00,1240
2019-08-23 19:00:00,1257
2019-08-23 19:01:00,1123
2019-08-23 19:02:00,1226
2019-08-23 19:03:00,378
