11,"SELECT TOP # g.l, g.b, s.z as redshift, g.u, g.err_u, g.g, g.err_g, g.r, g.err_r, g.i, g.err_i, g.z, g.err_z, g.extinction_g, g.extinction_r FROM Galaxy AS g JOIN SpecObj as s ON s.specObjID = g.specObjID WHERE g.l between # and # and g.b between # and # and g.petroR9#_i/g.petroR5#_i > # and ( (flags & #) = #)"
2019-01-22 17:22:00,1
2019-01-22 17:23:00,1
2019-01-22 17:24:00,1
2019-01-22 17:25:00,1
2019-01-22 17:28:00,1
2019-01-22 17:30:00,1
2019-01-22 17:31:00,1
2019-01-22 17:35:00,2
2019-01-22 17:37:00,1
2019-01-22 17:40:00,1
