29,"SELECT TOP # p.ra, p.dec, p.type, p.modelmag_g, p.modelmag_r, p.modelmag_i, p.run, p.rerun, p.camcol, p.field, p.obj, p.objid, dbo.fIAUFromEq (p.ra, p.dec) , p.z, p.specobjid, p.specClass FROM SpecPhotoAll as p WHERE p.ra< # and p.ra> # and p.dec> and p.dec< and (p.specClass = # or p.specClass = #) order by p.modelmag_r"
2019-01-19 16:44:00,1
2019-01-24 04:57:00,1
2019-04-07 21:21:00,1
2019-04-16 01:23:00,1
2019-04-17 14:33:00,1
2019-04-24 17:41:00,1
2019-04-29 13:49:00,2
2019-08-04 18:39:00,1
2019-08-25 13:43:00,1
2019-08-30 03:58:00,1
2019-11-29 00:44:00,1
2019-12-10 21:53:00,1
2019-12-13 08:09:00,1
2019-12-25 08:54:00,2
2019-12-25 08:55:00,4
2019-12-28 09:38:00,1
2019-12-28 10:25:00,1
2019-12-28 19:07:00,1
2019-12-29 04:11:00,1
2019-12-29 13:11:00,1
2019-12-29 22:14:00,1
2019-12-30 07:15:00,1
2019-12-30 19:15:00,1
2019-12-31 19:58:00,1
