15,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > # and s.z < # and p.g < #"
2019-12-03 13:34:00,1
2019-12-03 13:38:00,1
2019-12-03 13:52:00,1
2019-12-04 06:22:00,1
2019-12-04 06:41:00,1
2019-12-04 09:31:00,3
2019-12-04 09:34:00,1
2019-12-04 09:35:00,2
2019-12-04 10:03:00,1
2019-12-04 11:08:00,2
2019-12-04 11:09:00,1
