25,select fieldid from field where devmodelapcorrection_i between .# and .# and psfb_u between # and #
2019-01-25 08:41:00,1
2019-01-25 08:43:00,2
2019-01-25 08:47:00,1
2019-01-25 08:50:00,2
2019-01-25 11:32:00,4
2019-01-25 11:33:00,1
2019-01-25 12:21:00,3
2019-01-28 17:53:00,4
2019-01-28 17:54:00,2
2019-02-26 11:51:00,3
2019-02-26 12:08:00,1
2019-02-26 13:08:00,1
