8329,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-27 17:28:00,1
2019-02-27 17:29:00,1
2019-02-27 17:30:00,1
2019-02-27 17:31:00,1
2019-02-27 17:32:00,2
2019-02-27 17:34:00,3
2019-02-27 17:35:00,3
2019-02-27 17:36:00,1
2019-02-27 17:37:00,2
2019-02-27 17:38:00,1
2019-02-27 17:39:00,1
2019-02-27 17:40:00,1
2019-02-27 17:41:00,1
2019-02-27 17:42:00,1
2019-02-27 17:43:00,2
2019-02-27 17:45:00,1
2019-02-27 17:46:00,2
2019-02-27 17:47:00,3
2019-02-27 17:48:00,1
2019-02-27 17:53:00,1
2019-02-27 17:54:00,3
2019-02-27 17:55:00,2
2019-02-27 17:56:00,2
2019-02-27 17:57:00,1
2019-02-27 17:58:00,3
2019-02-27 17:59:00,2
2019-02-27 18:00:00,2
2019-02-27 18:01:00,3
2019-02-27 18:50:00,1
2019-02-27 18:59:00,1
2019-02-27 19:07:00,1
2019-02-27 19:08:00,1
2019-02-27 19:09:00,2
2019-02-27 19:10:00,2
2019-02-27 19:11:00,1
2019-02-27 19:12:00,1
2019-02-27 19:13:00,2
2019-02-27 19:14:00,1
2019-02-27 19:15:00,2
2019-02-27 19:16:00,2
2019-02-27 19:17:00,1
2019-02-27 19:18:00,1
2019-02-27 19:45:00,2
2019-02-27 19:46:00,1
2019-02-27 19:47:00,1
2019-02-27 19:48:00,2
2019-02-27 19:49:00,2
2019-02-27 19:50:00,1
2019-02-27 19:51:00,4
2019-02-27 19:52:00,2
2019-02-27 19:53:00,2
2019-02-27 19:54:00,1
2019-02-27 19:55:00,2
2019-02-27 19:56:00,1
2019-02-27 19:57:00,1
2019-02-27 19:58:00,2
2019-02-27 20:00:00,1
2019-02-27 20:01:00,2
2019-02-27 20:02:00,2
2019-02-27 20:03:00,2
2019-02-27 20:08:00,1
2019-02-27 20:09:00,3
2019-02-27 20:10:00,2
2019-02-27 20:11:00,2
2019-02-27 20:12:00,1
2019-02-27 20:13:00,4
2019-02-27 20:14:00,2
2019-02-27 20:15:00,2
2019-02-27 20:16:00,2
2019-02-27 20:33:00,1
2019-02-27 20:45:00,1
2019-02-27 20:57:00,1
2019-02-27 20:59:00,1
2019-02-27 21:00:00,8
2019-02-27 21:07:00,1
2019-02-27 21:14:00,1
2019-02-27 21:21:00,1
2019-02-27 23:02:00,1
2019-02-27 23:03:00,1
2019-02-27 23:04:00,1
2019-02-27 23:05:00,1
2019-02-27 23:06:00,1
2019-02-27 23:07:00,1
2019-02-27 23:08:00,1
