2,"SELECT TOP # s.z FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.z > # AND s.zWarning = # AND s.z < #"
2019-03-20 22:18:00,1
2019-09-20 09:22:00,1
