2,"SELECT g.ra, g.dec into mydb.DR7pos1 from GalaxyTag as g WHERE g.ra between # and # AND g.type = # AND g.modelmag_r < # AND g.insidemask = #"
2019-12-30 08:25:00,1
2019-12-30 08:33:00,1
