818,"SELECT top # so.bestobjid, so.specobjid, so.plate, so.mjd, so.fiberid, sp.teffadop, sp.fehadop, sp.loggadop, sp.snr, sp.flag FROM specobjall so JOIN sppparams sp ON so.specobjid = sp.specobjid and so.sciencePrimary = # WHERE sp.teffadop > # and sp.teffadop < # and fehadop > # and fehadop < # and loggadop > # and loggadop < # and sp.flag like # and sp.snr > #"
2019-01-01 10:00:00,1
2019-01-02 00:29:00,1
2019-01-02 01:52:00,1
2019-01-03 11:15:00,1
2019-01-03 17:40:00,1
2019-01-03 20:50:00,1
2019-01-05 08:54:00,1
2019-01-05 18:14:00,1
2019-01-08 02:01:00,1
2019-01-08 03:50:00,1
2019-01-08 06:52:00,1
2019-01-08 17:17:00,1
2019-01-10 02:35:00,1
2019-01-10 18:50:00,1
2019-01-10 22:44:00,1
2019-01-11 02:21:00,1
2019-01-13 01:37:00,1
2019-01-14 11:40:00,1
2019-01-15 01:28:00,1
2019-01-16 01:54:00,1
2019-01-17 04:29:00,1
2019-01-17 13:11:00,1
2019-01-19 01:49:00,1
2019-01-20 18:26:00,1
2019-01-22 09:01:00,1
2019-01-22 15:14:00,1
2019-01-22 20:45:00,1
2019-01-23 22:21:00,1
2019-01-24 13:42:00,1
2019-01-25 11:16:00,1
2019-01-25 17:34:00,1
2019-01-26 13:29:00,1
2019-01-26 22:20:00,1
2019-01-27 08:23:00,2
2019-01-27 16:21:00,1
2019-01-27 22:41:00,1
2019-01-28 14:22:00,1
2019-01-28 16:03:00,1
2019-01-28 16:08:00,1
2019-01-29 03:45:00,1
2019-01-29 20:30:00,1
2019-01-30 18:06:00,1
2019-01-30 18:08:00,6
2019-01-30 18:09:00,7
2019-01-31 00:36:00,1
2019-01-31 08:01:00,1
2019-02-01 07:18:00,1
2019-02-01 11:46:00,1
2019-02-01 23:23:00,1
2019-02-01 23:44:00,1
2019-02-02 12:50:00,1
2019-02-02 15:40:00,1
2019-02-03 21:03:00,1
2019-02-04 00:14:00,1
2019-02-05 04:53:00,1
2019-02-05 14:02:00,1
2019-02-06 10:52:00,1
2019-02-07 18:27:00,1
2019-02-08 05:14:00,1
2019-02-08 07:55:00,1
2019-02-08 08:06:00,1
2019-02-08 09:59:00,1
2019-02-08 16:56:00,1
2019-02-09 15:36:00,1
2019-02-09 15:46:00,1
2019-02-10 03:47:00,1
2019-02-11 22:19:00,1
2019-02-11 22:33:00,1
2019-02-12 04:18:00,1
2019-02-12 17:23:00,1
2019-02-12 19:46:00,1
2019-02-12 19:54:00,1
2019-02-13 14:31:00,1
2019-02-14 07:39:00,1
2019-02-14 14:26:00,1
2019-02-16 02:43:00,1
2019-02-16 07:28:00,1
2019-02-16 15:16:00,1
2019-02-18 00:09:00,1
2019-02-18 11:54:00,1
2019-02-19 00:10:00,1
2019-02-19 22:05:00,1
2019-02-20 00:58:00,1
2019-02-20 20:34:00,1
2019-02-21 18:03:00,1
2019-02-23 16:00:00,1
2019-02-24 16:51:00,1
2019-02-25 01:27:00,1
2019-02-25 01:56:00,1
2019-02-26 00:21:00,1
2019-02-26 02:53:00,1
2019-02-27 07:56:00,1
2019-02-27 11:50:00,1
2019-02-27 17:51:00,1
2019-02-28 01:15:00,2
2019-02-28 06:56:00,1
2019-02-28 08:54:00,1
2019-02-28 20:42:00,1
2019-03-01 10:21:00,1
2019-03-01 22:06:00,1
2019-03-01 22:25:00,1
2019-03-02 01:34:00,1
2019-03-02 05:17:00,1
2019-03-02 08:05:00,1
2019-03-02 15:27:00,1
2019-03-03 04:24:00,1
2019-03-03 17:05:00,1
2019-03-03 21:03:00,1
2019-03-04 01:06:00,1
2019-03-04 03:39:00,1
2019-03-04 22:55:00,1
2019-03-05 10:38:00,1
2019-03-05 22:39:00,1
2019-03-06 13:05:00,1
2019-03-06 15:18:00,1
2019-03-06 16:23:00,1
2019-03-07 04:04:00,1
2019-03-07 09:58:00,1
2019-03-07 14:05:00,1
2019-03-08 02:30:00,1
2019-03-08 09:55:00,1
2019-03-08 10:04:00,1
2019-03-08 11:15:00,1
2019-03-08 14:30:00,1
2019-03-08 21:55:00,1
2019-03-09 00:47:00,1
2019-03-09 10:49:00,1
2019-03-09 12:04:00,1
2019-03-10 02:41:00,1
2019-03-11 03:09:00,1
2019-03-11 11:13:00,1
2019-03-11 17:06:00,1
2019-03-13 04:42:00,1
2019-03-13 07:44:00,1
2019-03-14 04:15:00,1
2019-03-14 14:25:00,1
2019-03-15 01:33:00,1
2019-03-15 10:34:00,1
2019-03-15 19:14:00,1
2019-03-15 21:06:00,1
2019-03-15 23:23:00,1
2019-03-16 00:59:00,1
2019-03-17 03:15:00,1
2019-03-17 10:17:00,1
2019-03-17 21:58:00,1
2019-03-19 09:54:00,1
2019-03-19 16:14:00,1
2019-03-19 16:16:00,4
2019-03-19 16:17:00,5
2019-03-20 10:55:00,1
2019-03-20 15:17:00,1
2019-03-20 23:59:00,1
2019-03-21 02:46:00,1
2019-03-21 05:48:00,1
2019-03-21 06:57:00,1
2019-03-21 16:47:00,1
2019-03-22 02:56:00,1
2019-03-23 07:00:00,1
2019-03-23 19:27:00,1
2019-03-24 00:22:00,1
2019-03-24 05:50:00,1
2019-03-24 10:08:00,1
2019-03-25 02:21:00,1
2019-03-25 05:09:00,1
2019-03-25 07:15:00,1
2019-03-25 10:21:00,1
2019-03-25 12:27:00,1
2019-03-26 11:07:00,1
2019-03-26 11:24:00,1
2019-03-26 22:00:00,1
2019-03-27 00:04:00,1
2019-03-27 17:11:00,1
2019-03-27 19:40:00,1
2019-03-27 19:54:00,1
2019-03-28 18:41:00,1
2019-03-28 23:18:00,1
2019-03-28 23:49:00,1
2019-03-29 05:09:00,1
2019-03-29 23:58:00,1
2019-03-30 09:56:00,1
2019-03-31 00:12:00,1
2019-03-31 17:47:00,1
2019-03-31 21:15:00,1
2019-04-01 09:33:00,1
2019-04-01 10:06:00,5
2019-04-01 10:33:00,1
2019-04-01 20:12:00,1
