14,"SELECT TOP # g.lgm_tot_p5#, p.devRad_u, p.devRadErr_u, s.z as redshift, p.ra, p.dec, s.class, p.fracDev_u, Z.p_cs_debiased, Z.p_el_debiased, Z.spiral FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN galSpecExtra AS g ON g.specobjid = s.specobjid JOIN zooSpec AS Z ON Z.specobjid = s.specobjid WHERE s.z BETWEEN # AND # AND g.lgm_tot_p5# > # AND p.devRadErr_u > # AND Z.p_cs_debiased BETWEEN # AND # AND Z.spiral = # AND s.class = #"
2019-12-13 05:03:00,1
2019-12-13 05:04:00,2
2019-12-13 05:05:00,1
2019-12-13 05:06:00,1
2019-12-13 05:28:00,1
2019-12-13 05:29:00,2
2019-12-13 05:42:00,2
2019-12-13 05:43:00,1
2019-12-13 05:46:00,1
2019-12-13 05:47:00,2
