3,"SELECT plate, fiberid, mjd, veldisp, veldisperr FROM SpecObjall WHERE class = # AND zwarning = # AND subclass = # AND snmedian_r > # and veldisperr > # and veldisp> #*veldisperr"
2019-09-07 06:02:00,2
2019-09-07 06:08:00,1
