916,"SELECT TOP # objID, ra, dec, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, dbo.fPhotoFlagsN (flags) FROM Galaxy WHERE (flags & (dbo.fPhotoFlags (#) )) ! = #"
2019-01-01 06:34:00,1
2019-01-01 08:58:00,1
2019-01-02 00:54:00,1
2019-01-03 11:07:00,1
2019-01-03 13:36:00,1
2019-01-04 09:26:00,1
2019-01-05 07:23:00,1
2019-01-05 09:24:00,1
2019-01-05 11:34:00,1
2019-01-05 15:47:00,1
2019-01-05 20:13:00,1
2019-01-07 02:45:00,1
2019-01-07 23:52:00,1
2019-01-08 03:01:00,1
2019-01-08 05:24:00,1
2019-01-08 10:35:00,1
2019-01-10 02:13:00,1
2019-01-10 07:38:00,1
2019-01-10 21:56:00,1
2019-01-11 01:23:00,1
2019-01-12 04:16:00,1
2019-01-12 09:40:00,1
2019-01-14 11:12:00,1
2019-01-16 08:52:00,1
2019-01-17 04:25:00,1
2019-01-17 10:47:00,1
2019-01-17 11:48:00,1
2019-01-17 23:21:00,1
2019-01-18 23:44:00,1
2019-01-19 21:26:00,1
2019-01-20 01:32:00,1
2019-01-20 18:21:00,1
2019-01-22 02:52:00,1
2019-01-22 08:13:00,1
2019-01-22 13:08:00,1
2019-01-22 20:46:00,1
2019-01-24 12:38:00,1
2019-01-25 11:11:00,1
2019-01-25 12:49:00,1
2019-01-25 21:39:00,1
2019-01-26 10:32:00,1
2019-01-26 19:55:00,1
2019-01-27 05:38:00,1
2019-01-27 08:57:00,1
2019-01-27 09:42:00,1
2019-01-27 20:03:00,1
2019-01-27 21:36:00,1
2019-01-28 11:26:00,1
2019-01-28 13:04:00,1
2019-01-28 13:53:00,1
2019-01-28 16:52:00,1
2019-01-28 16:54:00,1
2019-01-28 19:05:00,1
2019-01-28 21:42:00,1
2019-01-29 00:41:00,1
2019-01-30 15:41:00,2
2019-01-30 16:18:00,1
2019-01-30 21:05:00,1
2019-01-30 21:32:00,1
2019-01-31 07:53:00,1
2019-02-01 07:25:00,1
2019-02-01 18:28:00,1
2019-02-01 21:12:00,1
2019-02-02 05:19:00,1
2019-02-02 07:39:00,1
2019-02-02 14:33:00,1
2019-02-04 03:04:00,1
2019-02-06 11:36:00,1
2019-02-07 05:57:00,1
2019-02-07 06:43:00,1
2019-02-07 06:57:00,1
2019-02-08 04:21:00,1
2019-02-08 16:51:00,1
2019-02-09 02:59:00,1
2019-02-09 06:41:00,1
2019-02-09 07:50:00,1
2019-02-09 15:47:00,1
2019-02-09 20:29:00,1
2019-02-10 18:45:00,1
2019-02-11 00:32:00,1
2019-02-11 05:12:00,1
2019-02-11 21:31:00,1
2019-02-11 22:00:00,1
2019-02-11 22:29:00,1
2019-02-12 15:11:00,1
2019-02-12 18:45:00,1
2019-02-12 19:01:00,1
2019-02-13 12:20:00,1
2019-02-13 15:48:00,1
2019-02-13 17:42:00,1
2019-02-14 12:14:00,1
2019-02-14 12:48:00,1
2019-02-16 02:31:00,1
2019-02-16 10:40:00,1
2019-02-16 17:31:00,1
2019-02-17 10:25:00,1
2019-02-17 21:28:00,1
2019-02-18 00:48:00,1
2019-02-18 23:18:00,1
2019-02-19 07:26:00,1
2019-02-19 23:58:00,1
2019-02-20 02:37:00,1
2019-02-20 03:03:00,1
2019-02-20 06:25:00,1
2019-02-21 12:59:00,1
2019-02-23 18:18:00,1
2019-02-23 21:12:00,1
2019-02-24 00:44:00,1
2019-02-25 00:51:00,1
2019-02-25 18:02:00,1
2019-02-26 01:22:00,1
2019-02-27 01:33:00,1
2019-02-27 23:53:00,1
2019-02-28 01:45:00,1
2019-02-28 07:59:00,1
2019-03-01 01:14:00,1
2019-03-01 01:37:00,1
2019-03-01 02:11:00,1
2019-03-01 03:29:00,1
2019-03-01 09:10:00,1
2019-03-01 10:06:00,1
2019-03-01 18:27:00,1
