28,"SELECT TOP # G.objID, GN.distance, G.u, G.g, G.r, G.i, G.z, a.* FROM Galaxy as G JOIN dbo.fGetNearbyObjEq (#., #, #) AS GN ON G.objID = GN.objID join GalSpecLine as a on G.SpecobjID = a.SpecObjID"
2019-09-18 20:39:00,1
2019-09-18 20:42:00,1
2019-09-18 20:43:00,1
2019-09-18 20:44:00,2
2019-09-18 21:01:00,1
2019-09-19 04:58:00,1
2019-09-19 05:01:00,1
2019-09-19 18:59:00,1
2019-09-19 19:00:00,1
2019-09-19 19:07:00,1
2019-09-19 19:09:00,1
2019-09-19 19:12:00,1
2019-09-19 19:25:00,1
2019-09-19 19:27:00,1
2019-09-19 19:29:00,1
2019-09-19 19:32:00,1
2019-09-19 19:37:00,1
2019-09-19 19:39:00,1
2019-09-19 19:41:00,1
2019-09-19 19:42:00,3
2019-09-19 19:43:00,1
2019-09-19 20:00:00,1
2019-09-19 20:01:00,1
2019-09-19 20:02:00,1
2019-10-09 18:08:00,1
