34,"select ra, dec, modelMag_u, modelMag_g, modelMag_r, z as redshift from SpecPhoto where class = GALAXY"
2019-03-27 21:29:00,1
2019-03-27 21:42:00,1
2019-03-27 21:45:00,1
2019-03-27 21:49:00,1
2019-03-27 21:54:00,1
2019-03-27 21:58:00,1
2019-03-27 22:02:00,2
2019-03-27 22:03:00,2
2019-03-27 22:08:00,1
2019-03-27 22:14:00,1
2019-03-27 22:21:00,1
2019-03-27 22:22:00,1
2019-03-27 22:23:00,3
2019-03-27 22:24:00,3
2019-03-27 22:28:00,2
2019-03-27 22:30:00,1
2019-03-27 22:31:00,2
2019-03-27 22:32:00,1
2019-03-27 22:34:00,1
2019-03-27 22:36:00,1
2019-03-27 22:39:00,1
2019-03-27 22:47:00,1
2019-03-27 23:00:00,1
2019-03-27 23:09:00,1
2019-03-27 23:18:00,1
2019-03-27 23:22:00,1
