2,"SELECT TOP # p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z FROM Run AS r JOIN PhotoObj AS p ON p.mjd = r.mjd WHERE r.stripe = #"
2019-09-03 02:26:00,1
2019-09-03 02:28:00,1
