2,"SELECT ra, dec, z FROM SpecPhoto JOIN galSpecExtra on SpecPhoto WHERE lgm_tot_p5# > # AND ra BETWEEN # AND # AND dec BETWEEN # AND # AND z = #"
2019-05-02 09:59:00,1
2019-05-02 10:00:00,1
