2,"SELECT TOP # objid, ra, dec, u, g, r, i, z, dbo.fPhotoFlagsN (flags) as flags FROM star WHERE ( (flags & #) ! = #) AND ( (flags & #) = #) AND ( ((flags & #) = #) or (psfmagerr_g < = #) ) AND ( ((flags & #) = #) or (flags & #) = #)"
2019-10-11 19:56:00,1
2019-10-11 19:58:00,1
