2,"SELECT TOP # p.objID, p.run, f.run, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, f.TAI_u, f.mjd_u into mydb.MyTable_# FROM PhotoObjAll p, Field f WHERE (p.objID = #)"
2019-09-06 05:17:00,1
2019-09-06 05:18:00,1
