119,select fieldid from field where devmodelapcorrection_i between # and .# and psfb_u between # and #
2019-01-28 23:18:00,7
2019-01-28 23:21:00,43
2019-01-28 23:22:00,39
2019-02-26 13:42:00,8
2019-02-26 13:43:00,22
