3,"select all p.objid, p.l, p.b from star p where (p.u-p.g > #) and (p.g-p.r > #) and (p.r-p.i > #) and (p.i-p.z > #)"
2019-10-04 10:32:00,1
2019-10-04 11:52:00,1
2019-10-04 11:59:00,1
