123,"SELECT TOP # # + cast (p.apstar_id as varchar (#) ) + # + cast (p.apstar_id as varchar (#) ) + # as apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.metals FROM apogeeStar p JOIN fGetNearbyApogeeStarEq (#, #, #) n on p.apstar_id = n.apstar_id JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-01-07 14:40:00,2
2019-01-10 00:30:00,1
2019-01-12 20:22:00,1
2019-01-14 16:59:00,1
2019-02-04 21:12:00,2
2019-02-18 17:57:00,1
2019-02-18 17:58:00,1
2019-02-27 18:57:00,1
2019-03-01 18:58:00,2
2019-03-01 18:59:00,1
2019-03-01 19:05:00,1
2019-03-01 19:06:00,10
2019-03-01 19:07:00,4
2019-03-01 19:08:00,3
2019-03-01 19:09:00,1
2019-03-01 19:10:00,1
2019-03-01 19:11:00,1
2019-03-01 19:13:00,3
2019-03-01 19:14:00,6
2019-03-06 19:30:00,1
2019-03-06 19:32:00,1
2019-03-06 19:33:00,1
2019-03-06 19:35:00,1
2019-03-06 19:36:00,1
2019-03-06 19:38:00,2
2019-03-06 19:42:00,1
2019-03-06 19:44:00,1
2019-03-06 19:46:00,4
2019-03-06 19:48:00,1
2019-03-06 19:49:00,1
2019-03-06 19:50:00,1
2019-03-23 01:41:00,1
2019-04-03 17:55:00,1
2019-04-09 17:35:00,1
2019-04-11 07:03:00,1
2019-04-23 09:19:00,1
2019-04-23 09:28:00,1
2019-04-29 03:37:00,1
2019-04-30 14:16:00,1
2019-04-30 14:17:00,1
2019-04-30 15:08:00,1
2019-05-02 14:46:00,1
2019-05-02 14:47:00,1
2019-05-07 12:31:00,1
2019-05-08 15:20:00,1
2019-05-09 00:33:00,1
2019-05-09 10:46:00,1
2019-05-09 10:48:00,1
2019-05-09 10:49:00,2
2019-05-09 11:07:00,1
2019-05-09 11:08:00,1
2019-05-09 11:09:00,1
2019-05-09 11:17:00,1
2019-05-09 14:55:00,1
2019-05-09 15:09:00,1
2019-05-09 15:11:00,1
2019-05-10 09:04:00,1
2019-05-15 04:08:00,1
2019-05-21 07:22:00,4
2019-05-21 07:25:00,1
2019-05-21 07:27:00,1
2019-05-21 07:45:00,1
2019-05-21 07:50:00,1
2019-05-21 07:56:00,1
2019-05-21 09:31:00,3
2019-05-21 09:36:00,2
2019-05-24 01:37:00,1
2019-07-30 12:52:00,1
2019-08-28 20:09:00,1
2019-08-28 20:10:00,1
2019-08-28 20:11:00,1
2019-09-20 18:37:00,1
2019-09-27 23:30:00,1
2019-09-28 11:39:00,1
2019-09-28 11:50:00,1
2019-11-01 17:01:00,1
2019-11-01 17:02:00,3
2019-11-01 17:03:00,4
2019-11-01 17:04:00,2
2019-11-21 00:42:00,1
2019-12-19 02:46:00,1
2019-12-19 03:00:00,1
