2,"SELECT s.specObjID into mydb.sourType from SpecObj as s, PhotoObj as p WHERE (s.class_noqso = # AND s.bestObjID = p.objID and s.sourceType = #)"
2019-05-07 15:41:00,1
2019-05-07 17:07:00,1
