28,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND p.g-p.r < # AND s.class = # AND s.ra between # and #"
2019-04-06 04:24:00,1
2019-04-06 04:25:00,1
2019-04-06 04:26:00,1
2019-04-06 04:27:00,1
2019-04-06 04:31:00,1
2019-04-06 04:32:00,1
2019-04-06 04:33:00,1
2019-04-06 04:49:00,2
2019-04-06 04:53:00,1
2019-04-06 04:57:00,2
2019-04-06 04:59:00,1
2019-04-06 05:00:00,1
2019-04-06 05:02:00,1
2019-04-06 05:05:00,1
2019-04-06 05:07:00,1
2019-04-06 05:15:00,1
2019-04-06 05:18:00,1
2019-04-06 05:27:00,1
2019-04-06 05:28:00,1
2019-04-06 05:32:00,2
2019-04-06 05:36:00,1
2019-04-06 05:40:00,1
2019-04-06 05:43:00,1
2019-04-06 05:45:00,1
2019-04-06 05:48:00,1
