457,"SELECT TOP # p.u, p.g, p.r, p.i, p.z, s.class, s.z, s.zerr FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND s.class < > # AND s.class < > # AND s.class < > # AND s.class < > #"
2019-01-03 06:35:00,1
2019-01-04 11:04:00,1
2019-01-04 11:12:00,1
2019-01-04 13:55:00,1
2019-01-04 13:56:00,1
2019-01-04 14:01:00,2
2019-01-04 18:07:00,3
2019-01-04 21:50:00,1
2019-01-04 21:58:00,1
2019-01-07 09:24:00,4
2019-01-07 09:34:00,2
2019-01-07 09:49:00,1
2019-01-07 10:54:00,1
2019-01-25 01:02:00,1
2019-01-25 01:18:00,1
2019-01-25 01:56:00,1
2019-01-25 02:36:00,1
2019-01-25 04:26:00,1
2019-01-25 05:16:00,1
2019-01-26 23:01:00,1
2019-01-27 16:38:00,1
2019-01-27 16:39:00,1
2019-01-29 01:09:00,1
2019-02-03 04:41:00,1
2019-02-03 05:13:00,1
2019-02-06 19:56:00,1
2019-02-10 20:48:00,1
2019-02-11 08:40:00,1
2019-02-11 23:14:00,1
2019-02-14 16:52:00,1
2019-02-14 17:11:00,3
2019-02-14 17:17:00,1
2019-02-27 01:35:00,1
2019-03-04 20:16:00,1
2019-03-04 23:01:00,1
2019-03-04 23:19:00,1
2019-03-04 23:38:00,1
2019-03-04 23:55:00,1
2019-03-05 05:05:00,1
2019-03-05 05:22:00,1
2019-03-05 05:29:00,1
2019-03-05 06:19:00,1
2019-03-05 06:45:00,1
2019-03-05 07:25:00,1
2019-03-05 08:39:00,1
2019-03-05 08:59:00,1
2019-03-05 09:38:00,1
2019-03-05 09:58:00,1
2019-03-05 10:12:00,1
2019-03-05 10:31:00,1
2019-03-06 09:08:00,1
2019-03-06 18:19:00,1
2019-03-06 19:09:00,1
2019-03-06 19:28:00,1
2019-03-06 19:45:00,1
2019-03-08 20:48:00,1
2019-03-08 20:59:00,1
2019-03-08 21:06:00,1
2019-03-08 21:12:00,1
2019-03-08 21:19:00,1
2019-03-08 21:26:00,1
2019-03-08 21:40:00,1
2019-03-08 21:46:00,1
