3,"SELECT P.ObjID, P.ra, P.dec, S.z, P.isoA_r, P.isoB_r, p.petroR9#_r, p.petroR5#_r into mydb.ML_whatever_v2 From SpecObj S, galaxy G, PhotoObjAll P, mydb.ML_whatever x WHERE x.id = P.Objid and P.ObjID = S.bestObjID and S.bestObjID = G.ObjID"
2019-06-27 11:54:00,2
2019-06-27 11:58:00,1
