3,"SELECT TOP # p.u, p.g, p.r, p.i, p.z, s.class, s.z AS z1 FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND s.class < > # AND s.class < > #"
2019-10-22 12:39:00,2
2019-10-22 12:53:00,1
