6,"select TOP # plate, MJD, fiberID from SpecObj where class = # and waveMin < = # and waveMax > = # and snMedian_g > # and snMedian_g < # and subclass = #"
2019-10-11 05:29:00,3
2019-10-11 05:30:00,2
2019-10-12 04:45:00,1
