4854,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.objID, s.Z, s.class, s.ZErr FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-25 10:15:00,57
2019-02-25 10:16:00,44
2019-02-25 10:17:00,17
2019-02-25 10:18:00,103
2019-02-25 10:19:00,80
2019-02-25 10:20:00,112
2019-02-25 10:21:00,104
2019-02-25 10:22:00,101
2019-02-25 10:23:00,102
2019-02-25 10:24:00,100
2019-02-25 10:25:00,99
2019-02-25 10:26:00,96
2019-02-25 10:27:00,90
2019-02-25 10:28:00,90
2019-02-25 10:29:00,104
2019-02-25 10:30:00,133
2019-02-25 10:31:00,126
2019-02-25 10:32:00,128
2019-02-25 10:33:00,128
2019-02-25 10:34:00,127
2019-02-25 10:35:00,128
2019-02-25 10:36:00,123
2019-02-25 10:37:00,118
2019-02-25 10:38:00,125
2019-02-25 10:39:00,126
2019-02-25 10:40:00,128
2019-02-25 10:41:00,140
2019-02-25 10:42:00,138
2019-02-25 10:43:00,140
2019-02-25 10:44:00,155
2019-02-25 10:45:00,156
2019-02-25 10:46:00,161
2019-02-25 10:47:00,170
2019-02-25 10:48:00,163
2019-02-25 10:49:00,166
2019-02-25 10:50:00,172
2019-02-25 10:51:00,158
2019-02-25 10:52:00,151
2019-02-25 10:53:00,149
2019-02-25 10:54:00,140
2019-02-25 10:55:00,6
