29,"SELECT top # p.objID, s.z as redshift, p.u, p.r, p.g, p.i, p.z FROM photoObj p JOIN specObj s ON s.bestObjID = p.objID WHERE s.class = # and s.z > # and p.objID < > # and s.zWarning = # ORDER BY s.z"
2019-01-09 09:52:00,1
2019-01-09 09:55:00,1
2019-03-31 06:23:00,1
2019-06-08 17:47:00,1
2019-06-20 08:53:00,1
2019-06-20 08:54:00,1
2019-06-21 18:38:00,1
2019-06-21 18:39:00,3
2019-06-22 11:21:00,2
2019-06-22 11:22:00,1
2019-07-12 19:29:00,1
2019-07-18 04:06:00,1
2019-08-05 12:51:00,1
2019-08-14 14:20:00,1
2019-08-19 06:25:00,1
2019-09-19 03:49:00,2
2019-09-24 03:37:00,2
2019-10-03 14:49:00,1
2019-10-08 14:57:00,1
2019-11-27 07:24:00,1
2019-11-27 07:49:00,1
2019-11-29 06:10:00,1
2019-12-12 18:48:00,2
