1191,SELECT DISTINCT p.* FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )
2019-01-17 17:22:00,1
2019-01-18 16:52:00,59
2019-01-18 16:53:00,144
2019-01-19 01:04:00,35
2019-01-19 01:06:00,35
2019-01-19 01:34:00,17
2019-01-19 01:35:00,151
2019-01-23 15:34:00,73
2019-01-23 15:35:00,107
2019-01-23 15:36:00,18
2019-01-24 22:04:00,75
2019-01-24 22:05:00,101
2019-01-25 16:55:00,1
2019-01-25 17:07:00,70
2019-01-25 17:08:00,70
2019-02-04 02:44:00,8
2019-02-04 02:45:00,29
2019-02-04 02:46:00,65
2019-02-04 02:47:00,13
2019-03-02 20:05:00,33
2019-03-02 20:33:00,1
2019-03-02 20:35:00,1
2019-03-02 20:46:00,27
2019-03-02 20:47:00,6
2019-03-02 20:54:00,33
2019-03-02 21:09:00,18
