116,"SELECT TOP # p.objId, p.ra, p.dec, p.petror9#_r, p.g, p.r FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.petror9#_r > #"
2019-01-31 14:17:00,1
2019-01-31 16:28:00,1
2019-01-31 16:33:00,1
2019-01-31 16:48:00,1
2019-01-31 16:49:00,1
2019-01-31 16:52:00,1
2019-01-31 16:53:00,1
2019-01-31 16:55:00,7
2019-01-31 16:56:00,1
2019-01-31 16:59:00,2
2019-01-31 17:03:00,1
2019-02-01 11:44:00,1
2019-02-01 11:45:00,1
2019-02-01 13:23:00,1
2019-02-01 13:28:00,1
2019-02-03 16:05:00,1
2019-02-03 16:06:00,1
2019-02-03 16:08:00,2
2019-02-03 16:09:00,3
2019-02-03 16:10:00,1
2019-02-03 17:05:00,1
2019-02-03 17:38:00,1
2019-02-03 17:41:00,1
2019-02-05 15:05:00,1
2019-02-05 16:16:00,1
2019-02-05 17:34:00,2
2019-02-06 10:37:00,1
2019-02-06 15:33:00,1
2019-02-06 15:39:00,1
2019-02-06 19:04:00,1
2019-02-07 03:00:00,1
2019-02-07 09:37:00,1
2019-02-07 10:14:00,1
2019-02-07 10:16:00,1
2019-02-07 10:57:00,1
2019-02-07 11:48:00,1
2019-02-07 12:04:00,1
2019-02-07 12:12:00,1
2019-02-07 12:40:00,1
2019-02-07 12:41:00,1
2019-02-07 13:47:00,1
2019-02-07 14:43:00,1
2019-02-07 14:46:00,1
2019-02-07 16:57:00,1
2019-02-07 17:12:00,2
2019-02-07 17:13:00,1
2019-02-07 17:14:00,1
2019-02-07 17:23:00,1
2019-02-08 11:01:00,1
2019-02-08 11:38:00,1
2019-02-08 13:44:00,1
2019-02-08 13:46:00,1
2019-02-08 15:33:00,1
2019-02-08 16:00:00,1
2019-02-09 14:49:00,1
2019-02-09 15:52:00,1
2019-02-09 17:41:00,1
2019-02-10 13:13:00,1
2019-02-11 00:19:00,1
2019-02-14 15:30:00,1
2019-02-14 16:53:00,1
2019-02-17 19:04:00,1
2019-02-19 16:16:00,1
2019-02-20 11:11:00,1
2019-02-20 11:22:00,1
2019-02-20 11:55:00,1
2019-02-20 12:00:00,1
2019-02-20 12:22:00,1
2019-02-20 12:38:00,1
2019-02-20 13:55:00,2
2019-02-20 14:32:00,1
2019-02-20 15:25:00,1
2019-02-20 16:55:00,1
2019-02-20 17:24:00,1
2019-02-20 17:36:00,2
2019-02-20 18:16:00,1
2019-02-20 18:22:00,2
2019-02-20 18:25:00,1
2019-02-20 18:56:00,1
2019-02-21 11:57:00,1
2019-02-21 11:59:00,1
2019-02-21 12:06:00,1
2019-02-21 14:38:00,1
2019-02-21 16:25:00,1
2019-03-15 09:14:00,1
2019-03-15 09:15:00,1
2019-03-15 09:25:00,1
2019-04-02 10:51:00,1
2019-04-02 10:56:00,1
2019-04-02 10:57:00,1
2019-04-02 10:58:00,1
2019-12-17 00:32:00,1
2019-12-26 15:48:00,2
2019-12-26 15:49:00,2
2019-12-26 16:15:00,2
2019-12-27 14:17:00,1
2019-12-27 15:36:00,2
