2,"SELECT p.objid, s.specobjid, s.class, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.specobjid = #"
2019-11-18 14:58:00,1
2019-11-18 15:01:00,1
