43,"SELECT TOP # oiii_#_flux as oif, h_beta_flux as hbf, nii_#_flux as nif, h_alpha_flux as haf, oiii_#_flux_err as oif_e, h_beta_flux_err as hbf_e, nii_#_flux_err as nif_e, h_alpha_flux_err as haf_e, specObjID FROM galSpecLine as p WHERE oiii_#_flux_err > # AND h_beta_flux_err > # AND nii_#_flux_err > # AND h_alpha_flux_err > # AND oiii_#_flux/oiii_#_flux_err > # AND h_beta_flux/h_beta_flux_err > # AND nii_#_flux/nii_#_flux_err > # AND h_alpha_flux/h_alpha_flux_err > #"
2019-04-09 13:49:00,2
2019-04-09 13:55:00,1
2019-04-10 10:32:00,1
2019-04-11 09:32:00,1
2019-04-11 09:37:00,2
2019-04-11 15:17:00,1
2019-04-11 15:43:00,1
2019-04-11 16:04:00,1
2019-04-18 15:17:00,1
2019-04-18 15:27:00,1
2019-04-18 17:10:00,1
2019-04-19 11:34:00,1
2019-04-19 11:35:00,1
2019-04-19 16:15:00,1
2019-04-19 16:16:00,1
2019-04-19 16:17:00,1
2019-04-19 16:24:00,1
2019-04-19 16:27:00,2
2019-04-22 13:02:00,1
2019-04-22 13:03:00,1
2019-04-25 12:47:00,1
2019-04-25 15:05:00,1
2019-04-25 15:11:00,1
2019-04-25 15:14:00,1
2019-04-25 17:02:00,1
2019-04-26 16:33:00,1
2019-04-26 17:23:00,1
2019-05-01 10:30:00,1
2019-05-01 10:31:00,1
2019-05-01 10:32:00,1
2019-05-01 14:15:00,1
2019-05-01 15:58:00,1
2019-05-01 16:48:00,1
2019-05-01 16:49:00,1
2019-05-01 16:50:00,2
2019-05-04 15:24:00,2
2019-05-04 18:45:00,2
