23,"select top # P.ra, P.dec, P.objID, P.u, P.err_u, P.g, P.err_g, P.r, P.err_r, P.i, P.err_i, P.z, P.err_z from PhotoPrimary as P, dbo.fGetNearbyObjEq (#, #, #) as N where P.objID = N.objID and P.type = # and P.r > = # and P.r < = #"
2019-10-16 13:26:00,1
2019-10-16 13:29:00,2
2019-10-16 13:30:00,1
2019-10-16 16:43:00,1
2019-10-16 16:46:00,1
2019-10-16 16:49:00,2
2019-10-17 13:41:00,1
2019-10-30 13:07:00,1
2019-11-12 22:52:00,2
2019-11-13 20:32:00,2
2019-11-14 14:35:00,1
2019-11-15 14:29:00,1
2019-11-15 15:12:00,1
2019-11-27 14:06:00,1
2019-11-30 13:42:00,1
2019-12-16 14:32:00,1
2019-12-19 14:20:00,2
2019-12-31 18:54:00,1
