7,"SELECT TOP # str (s.ra, #, #) as ra, str (s.[dec], #, #) as dec FROM BESTDR8..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-02-17 03:34:00,1
2019-02-17 04:42:00,1
2019-06-23 06:08:00,1
2019-11-28 05:54:00,1
2019-11-28 05:55:00,3
