8,"select dbo.fCosmoDc (#, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT) ) as distmin"
2019-02-10 19:00:00,2
2019-02-10 19:01:00,1
2019-02-10 19:02:00,3
2019-02-10 19:03:00,2
