1318,select fieldid from field where cccol_u between .# and # and skyframes_r between # and #
2019-01-24 13:36:00,9
2019-01-24 13:37:00,5
2019-01-24 13:45:00,3
2019-01-24 14:18:00,2
2019-01-24 14:24:00,5
2019-01-24 15:36:00,3
2019-01-24 15:37:00,3
2019-01-24 16:02:00,18
2019-01-24 16:03:00,5
2019-01-24 16:29:00,5
2019-01-24 17:13:00,16
2019-01-24 17:21:00,1
2019-01-24 17:48:00,1
2019-01-24 17:54:00,5
2019-01-24 19:06:00,2
2019-01-24 19:31:00,15
2019-01-24 19:32:00,6
2019-01-24 19:58:00,4
2019-01-24 20:22:00,13
2019-01-24 20:23:00,12
2019-01-24 20:24:00,8
2019-01-24 20:26:00,3
2019-01-24 20:27:00,34
2019-01-24 21:43:00,2
2019-01-24 22:36:00,1
2019-01-24 23:29:00,1
2019-01-24 23:35:00,15
2019-01-24 23:36:00,5
2019-01-24 23:38:00,43
2019-01-24 23:40:00,27
2019-01-24 23:42:00,31
2019-01-24 23:44:00,18
2019-01-24 23:45:00,1
2019-01-24 23:48:00,1
2019-01-24 23:49:00,2
2019-01-24 23:50:00,4
2019-01-24 23:51:00,38
2019-01-24 23:53:00,27
2019-01-24 23:59:00,24
2019-01-25 00:00:00,23
2019-01-25 00:01:00,19
2019-01-25 00:02:00,11
2019-01-25 00:05:00,5
2019-01-25 00:16:00,32
2019-01-25 00:20:00,5
2019-01-25 00:23:00,6
2019-01-25 00:24:00,3
2019-01-25 00:25:00,5
2019-01-25 00:37:00,8
2019-01-25 00:38:00,45
2019-01-25 00:39:00,16
2019-01-25 01:04:00,1
2019-01-25 01:05:00,5
2019-01-25 01:09:00,3
2019-01-25 01:14:00,2
2019-01-25 01:21:00,36
2019-01-25 01:29:00,2
2019-01-25 02:23:00,2
2019-01-25 02:27:00,1
2019-01-25 02:36:00,1
2019-01-25 02:54:00,1
2019-01-25 02:55:00,1
2019-01-25 04:06:00,2
2019-01-25 04:09:00,52
2019-01-25 04:10:00,3
2019-01-25 04:12:00,13
2019-01-25 04:13:00,51
2019-01-25 06:22:00,1
2019-01-25 07:13:00,6
2019-01-25 07:50:00,3
2019-01-25 07:51:00,8
2019-01-25 07:52:00,3
2019-01-25 10:24:00,1
2019-01-25 12:44:00,1
2019-01-25 12:46:00,28
2019-01-25 12:48:00,7
2019-01-25 12:49:00,4
2019-01-28 17:06:00,4
2019-01-28 17:29:00,16
2019-01-28 17:31:00,39
2019-01-28 17:32:00,43
2019-01-28 17:33:00,38
2019-01-28 17:34:00,28
2019-01-28 18:18:00,1
2019-01-28 18:19:00,6
2019-01-28 18:20:00,7
2019-01-28 18:21:00,3
2019-01-28 18:36:00,2
2019-01-28 18:38:00,4
2019-01-28 18:39:00,3
2019-01-28 18:47:00,1
2019-01-28 19:11:00,6
2019-01-28 23:21:00,2
2019-02-26 10:28:00,8
2019-02-26 10:32:00,1
2019-02-26 10:45:00,13
2019-02-26 10:46:00,15
2019-02-26 10:47:00,7
2019-02-26 10:54:00,1
2019-02-26 11:03:00,11
2019-02-26 11:04:00,31
2019-02-26 11:05:00,27
2019-02-26 11:07:00,2
2019-02-26 11:08:00,1
2019-02-26 11:10:00,2
2019-02-26 11:41:00,4
2019-02-26 11:47:00,1
2019-02-26 11:48:00,2
2019-02-26 12:35:00,4
2019-02-26 12:36:00,4
2019-02-26 12:48:00,1
2019-02-26 12:55:00,2
2019-02-26 13:03:00,4
2019-02-26 13:04:00,11
2019-02-26 13:06:00,4
2019-02-26 13:18:00,11
2019-02-26 13:19:00,1
2019-02-26 13:23:00,3
2019-02-26 13:25:00,1
2019-02-26 13:26:00,2
2019-02-26 13:29:00,1
2019-02-26 13:32:00,68
2019-02-26 13:38:00,22
2019-02-26 13:42:00,6
2019-02-26 13:43:00,10
