28,"INSERT INTO Census (ID, Geog) VALUES (#, geography::STGeomFromText ('POLYGON ((# #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, #"
2019-10-05 19:14:00,1
2019-10-05 19:16:00,3
2019-10-05 19:18:00,1
2019-10-05 19:19:00,1
2019-10-05 19:20:00,3
2019-10-05 19:22:00,3
2019-10-05 19:23:00,1
2019-10-05 19:25:00,7
2019-10-05 19:26:00,1
2019-10-05 19:29:00,2
2019-10-05 19:30:00,1
2019-10-05 19:31:00,4
