2,"select top # s.bestObjID, s.ra, s.dec, s.z from specObj s join dbo.fGetNearbyObjEq (#, #, #) n on n.objID = s.bestObjID where s.class = # order by z desc"
2019-02-27 04:18:00,1
2019-02-27 04:21:00,1
