21,"SELECT TOP # specObjID, z into mydb.MyTable_# from SpecObj WHERE class = # AND zWarning = #"
2019-01-19 10:38:00,1
2019-03-31 02:47:00,1
2019-04-24 03:19:00,1
2019-06-22 11:09:00,1
2019-07-02 08:57:00,1
2019-08-10 08:50:00,1
2019-08-10 08:53:00,1
2019-08-10 08:59:00,2
2019-08-10 09:00:00,1
2019-08-10 09:02:00,1
2019-08-10 09:03:00,1
2019-08-10 09:05:00,1
2019-08-10 09:06:00,1
2019-08-10 10:02:00,1
2019-09-09 16:38:00,1
2019-09-10 01:47:00,1
2019-09-25 01:22:00,1
2019-09-25 13:39:00,2
2019-10-11 10:59:00,1
