4,"SELECT p.objId as objid, pz.z FROM galaxy AS p JOIN Photoz AS pz ON pz.objID = p.objid WHERE pz.z between # and #"
2019-07-15 12:13:00,1
2019-07-15 12:14:00,1
2019-07-15 12:16:00,2
