152,"SELECT top # p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID AND p.u BETWEEN # AND #"
2019-01-03 18:38:00,1
2019-01-05 16:02:00,1
2019-01-08 08:49:00,1
2019-01-10 05:48:00,1
2019-01-13 06:18:00,1
2019-01-17 09:09:00,1
2019-01-22 21:32:00,1
2019-01-26 12:41:00,1
2019-01-29 00:24:00,1
2019-01-29 00:26:00,1
2019-01-29 23:44:00,1
2019-02-06 17:31:00,1
2019-02-12 18:43:00,1
2019-02-22 10:10:00,1
2019-02-24 07:52:00,1
2019-02-25 16:50:00,1
2019-03-05 16:03:00,1
2019-03-11 03:17:00,1
2019-03-12 22:56:00,1
2019-03-14 04:38:00,1
2019-03-22 05:59:00,1
2019-03-22 10:55:00,1
2019-03-27 14:01:00,1
2019-03-30 03:26:00,1
2019-03-30 22:26:00,1
2019-03-31 08:44:00,1
2019-03-31 21:30:00,1
2019-04-05 12:34:00,1
2019-04-05 18:00:00,1
2019-04-06 04:33:00,1
2019-04-08 20:31:00,1
2019-04-10 19:27:00,1
2019-04-13 12:35:00,1
2019-04-17 16:00:00,1
2019-04-18 05:13:00,1
2019-04-19 11:23:00,1
2019-04-21 08:57:00,1
2019-04-22 12:00:00,1
2019-04-25 03:46:00,1
2019-04-27 16:45:00,1
2019-04-29 02:52:00,1
2019-05-02 13:10:00,1
2019-05-04 07:47:00,1
2019-05-10 22:16:00,1
2019-05-13 21:56:00,1
2019-05-14 22:17:00,1
2019-05-16 23:59:00,1
2019-05-24 00:32:00,1
2019-05-24 07:00:00,1
2019-05-24 19:34:00,1
2019-05-26 17:17:00,1
2019-05-26 18:18:00,1
2019-05-28 11:33:00,1
2019-05-28 12:05:00,1
2019-05-29 17:20:00,1
2019-06-03 10:58:00,1
2019-06-06 04:49:00,1
2019-06-07 15:24:00,1
2019-06-07 17:33:00,1
2019-06-12 00:51:00,1
2019-06-14 09:28:00,1
2019-06-14 17:14:00,1
2019-06-15 06:46:00,1
2019-06-18 20:00:00,1
2019-06-19 07:43:00,1
2019-06-24 15:22:00,1
2019-06-25 19:46:00,1
2019-06-26 03:27:00,1
2019-06-28 13:17:00,1
2019-06-29 14:10:00,1
2019-06-29 22:48:00,1
2019-07-05 01:08:00,1
2019-07-05 04:47:00,1
2019-07-10 05:51:00,1
2019-07-10 10:07:00,1
2019-07-11 21:57:00,1
2019-07-12 01:22:00,1
2019-07-12 15:57:00,1
2019-07-13 19:13:00,1
2019-07-17 14:21:00,1
2019-07-17 17:16:00,1
2019-07-19 02:47:00,1
2019-07-19 23:51:00,1
2019-07-21 22:50:00,1
2019-07-25 12:06:00,1
2019-07-29 05:06:00,1
2019-07-31 20:54:00,1
2019-08-03 16:13:00,1
2019-08-06 01:53:00,1
2019-08-07 05:15:00,1
2019-08-09 12:33:00,1
2019-08-09 13:35:00,1
2019-08-15 09:31:00,1
2019-08-16 14:37:00,1
2019-08-19 01:07:00,1
2019-08-21 21:00:00,1
2019-08-23 20:24:00,1
2019-08-29 04:38:00,1
2019-08-30 05:34:00,1
2019-09-02 01:04:00,1
2019-09-02 19:54:00,1
2019-09-03 06:25:00,1
2019-09-03 12:10:00,1
2019-09-06 03:29:00,1
2019-09-07 20:56:00,1
2019-09-08 00:49:00,1
2019-09-08 04:13:00,1
2019-09-11 01:42:00,1
2019-09-12 10:54:00,1
2019-09-16 21:26:00,1
2019-09-17 16:40:00,1
2019-09-18 08:41:00,1
2019-09-19 17:06:00,1
2019-09-21 02:30:00,1
2019-09-21 10:54:00,1
2019-09-28 04:07:00,1
2019-10-04 02:47:00,1
2019-10-07 08:29:00,1
2019-10-08 16:22:00,1
2019-10-09 11:56:00,1
2019-10-10 16:15:00,1
2019-10-14 04:55:00,1
2019-10-14 21:34:00,1
2019-10-17 03:46:00,1
2019-10-20 07:58:00,1
2019-10-24 12:19:00,1
2019-10-25 01:32:00,1
2019-10-29 09:49:00,1
2019-10-31 00:30:00,1
2019-11-02 19:39:00,1
2019-11-04 15:28:00,1
2019-11-07 18:47:00,1
2019-11-08 11:36:00,1
2019-11-16 08:21:00,1
2019-11-17 10:01:00,1
2019-11-18 04:01:00,1
2019-11-24 00:11:00,1
2019-11-25 17:00:00,1
2019-11-29 05:52:00,1
2019-11-30 18:05:00,1
2019-12-02 19:20:00,1
2019-12-05 03:21:00,1
2019-12-06 14:45:00,1
2019-12-07 10:57:00,1
2019-12-09 20:22:00,1
2019-12-15 16:22:00,1
2019-12-16 22:15:00,1
2019-12-18 18:24:00,1
2019-12-22 00:09:00,1
2019-12-25 02:20:00,1
2019-12-25 12:43:00,1
2019-12-31 11:05:00,1
