29,"SELECT rerun, run FROM Run WHERE stripe = #"
2019-01-10 02:48:00,1
2019-01-15 18:35:00,1
2019-03-08 08:55:00,2
2019-03-11 11:45:00,1
2019-03-27 09:56:00,1
2019-04-12 10:55:00,1
2019-04-17 11:40:00,1
2019-04-24 16:26:00,1
2019-04-24 16:27:00,1
2019-05-11 17:26:00,1
2019-05-11 17:27:00,1
2019-05-19 07:04:00,1
2019-05-19 09:03:00,1
2019-05-19 11:37:00,1
2019-06-16 00:17:00,1
2019-09-18 18:55:00,1
2019-10-29 13:17:00,1
2019-11-03 11:23:00,1
2019-11-26 00:15:00,1
2019-11-26 04:29:00,1
2019-11-26 04:35:00,2
2019-11-28 23:38:00,2
2019-12-04 07:28:00,1
2019-12-09 00:08:00,1
2019-12-11 23:14:00,1
2019-12-11 23:33:00,1
