228,"SELECT sp.ra, sp.dec, sp.z as redshift, sp.modelMag_g as modelg, sp.modelMagerr_g as err_modelg, sp.modelMag_i as modeli, sp.modelMagerr_i as err_modeli, sp.cModelMag_g as cmodelg, sp.cModelMagErr_g as err_cmodelg, sp.cModelMag_i as cmodeli, sp.cModelMagErr_i as err_cmodeli, gs.h_alpha_eqw, gs.oii_#_eqw, p.aperFlux7_g, p.aperFlux7Ivar_g as var_g, p.aperFlux7_i, p.aperFlux7Ivar_i as var_i FROM GalSpecLine AS gs JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS GN ON GN.specobjID = gs.specobjid JOIN Galaxy as gal ON gal.specobjId = gs.specobjid JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID WHERE h_alpha_eqw between # and # and oii_#_eqw between # and # and sp.modelMag_g-sp.modelMag_i between # and # and sp.z between # and # and sp.modelMag_i-#*log1# (#E+#*sp.z) < #"
2019-03-06 20:57:00,1
2019-03-06 21:07:00,1
2019-03-06 21:15:00,2
2019-03-06 21:16:00,3
2019-03-06 21:17:00,4
2019-03-06 21:27:00,1
2019-03-06 21:28:00,3
2019-03-06 21:29:00,3
2019-03-06 21:31:00,1
2019-03-06 21:34:00,1
2019-03-06 21:37:00,1
2019-03-06 21:39:00,1
2019-03-06 21:41:00,1
2019-03-06 21:42:00,1
2019-03-06 21:43:00,2
2019-03-06 21:44:00,1
2019-03-06 21:47:00,3
2019-03-06 21:48:00,2
2019-03-06 21:54:00,1
2019-03-06 21:55:00,5
2019-03-06 21:56:00,1
2019-03-06 21:57:00,5
2019-03-06 22:01:00,2
2019-03-06 22:02:00,5
2019-03-06 22:03:00,2
2019-03-06 22:04:00,1
2019-03-06 22:05:00,4
2019-03-06 22:06:00,2
2019-03-06 22:08:00,3
2019-03-06 22:09:00,8
2019-03-06 22:24:00,3
2019-03-06 22:25:00,9
2019-03-06 22:26:00,10
2019-03-06 22:27:00,8
2019-03-06 22:28:00,10
2019-03-06 22:29:00,10
2019-03-06 22:30:00,3
2019-03-06 22:52:00,2
2019-03-06 22:53:00,10
2019-03-06 22:54:00,10
2019-03-06 22:55:00,10
2019-03-06 22:56:00,10
2019-03-06 22:57:00,10
2019-03-07 12:02:00,7
2019-03-07 12:03:00,8
2019-03-07 12:04:00,9
2019-03-07 12:05:00,9
2019-03-07 12:06:00,10
2019-03-07 12:07:00,8
2019-03-07 12:08:00,1
