3990,"select s.plate, s.fiberid from SpecObj as s JOIN PhotoObj as p ON s.bestobjid = p.objid where p.objId = #"
2019-05-20 19:34:00,5
2019-05-20 19:35:00,10
2019-05-20 19:36:00,9
2019-05-20 19:37:00,7
2019-05-20 19:38:00,9
2019-05-20 19:39:00,15
2019-05-20 19:40:00,16
2019-05-20 19:41:00,17
2019-05-20 19:42:00,14
2019-05-20 19:43:00,18
2019-05-20 19:44:00,33
2019-05-20 19:45:00,83
2019-05-20 19:46:00,35
2019-05-20 19:47:00,36
2019-05-20 19:48:00,56
2019-05-20 19:49:00,65
2019-05-20 19:50:00,56
2019-05-20 19:51:00,47
2019-05-20 19:52:00,59
2019-05-20 19:53:00,46
2019-05-20 19:54:00,51
2019-05-20 19:55:00,44
2019-05-20 19:56:00,69
2019-05-20 19:57:00,216
2019-05-20 20:02:00,126
2019-05-20 20:03:00,274
2019-05-20 20:04:00,284
2019-05-20 20:05:00,178
2019-05-20 20:06:00,34
2019-05-20 20:12:00,3
2019-05-20 20:13:00,4
2019-05-20 20:14:00,4
2019-05-20 20:15:00,5
2019-05-20 20:16:00,7
2019-05-20 20:17:00,7
2019-05-20 20:18:00,10
2019-05-20 20:19:00,7
2019-05-20 20:20:00,8
2019-05-20 20:21:00,2
2019-05-20 20:22:00,25
2019-05-20 20:23:00,10
2019-05-20 20:24:00,31
2019-05-20 20:25:00,278
2019-05-20 20:26:00,289
2019-05-20 20:27:00,267
2019-05-20 20:28:00,107
2019-05-20 20:30:00,209
2019-05-20 20:31:00,309
2019-05-20 20:32:00,300
2019-05-20 20:33:00,189
2019-05-25 18:57:00,2
2019-05-25 18:58:00,3
2019-05-25 19:59:00,1
2019-05-25 20:03:00,1
